#    ** ICASA**,,,,,
#     Column Definitions:,,,,,
#     - Total Potential Responses: All survey participants including those who left the question blank.,,,,,
#     - Non-empty Responses: All responses that are not null or empty string.,,,,,
"#     - Informative Responses: Responses that are not classified as non-informative (e.g.  not ""N/A"",  ""No comment"", etc.)",,,,,
#     - Response: Individual informative responses with each response on a separate row.,,,,,
#     ,,,,,
Question,Institution,Total Potential Responses,Non-empty Responses,Informative Responses,Response
How is food or housing insecurity affecting your work?,Central New Mexico Community College,715,270,103,prices go up; anxiety goes up.
,,,,,de manera que afecta mi salud fisica y mental
,,,,,i work multiple jobs to be able to pay the bills and be sole support of my child
,,,,,i worry about bills every moth. living month to month.
,,,,,"i had to move this year, which caused my rent to go up 2.5 times what i was paying. my job switched prescription coverage, which caused the cost of the generic prescription i need for my mental health to go from $5 a month to almost $100 a month."
,,,,,doesn't
,,,,,being able to work remote some day of the week is very helpful.
,,,,,i tend to help my adult children who still live in the home with lunches and food and if they go without i don't do well at work.
,,,,,it isn't.
,,,,,it doesn't affect my work at this time.
,,,,,"currently, i am secure with food and housing - though i worry about the rent possibly being increased, and i dislike that in order to have healthy food on campus, i need to prepare and cook it myself ahead of time as the options on campus seem very limited."
,,,,,"if the rent goes up again after my lease is up, i probably won't be able to keep working at cnm"
,,,,,more stress
,,,,,hungry at work and can't concentrate.
,,,,,it makes it hard to concentrate on my job.
,,,,,need better pay with this rising inflation.
,,,,,most of the people are suffering from high grocery store expenses.
,,,,,mental stress causes distraction
,,,,,worry and focus on problem than performing well.
,,,,,it hasn't.
,,,,,it can be hard.
,,,,,it doesn't quite affect it at this time.
,,,,,"rent is too expensive and was forced to move back with parents. will probably end up leaving abq to find a good home at a decent price. the housing market is terrible and can't afford a $200,000+ house on my salary."
,,,,,it effects my health in which case i get sick a lot and miss work
,,,,,it isn't
,,,,,the instability of being able to afford to be healthy and alive is just a constant stress.
,,,,,it doesn't affect my ability to get my work done.
,,,,,makes me scared
,,,,,hard to work with stomach growling
,,,,,makes me take on a heavier workload to counter inflation and rising costs and make ends meet.
,,,,,it's too exspensive and hard to find places that i can afford
,,,,,at times
,,,,,see previous answer
,,,,,stress
,,,,,it doesn't.
,,,,,a lot of my students have too many outside jobs to support themselves to be present (mentally and physically) in class.
,,,,,my stomach interferes with my concentration so i try to drink more coffee with sugar to fill my stomach
,,,,,"it isn't, currently."
,,,,,i often can't focus
,,,,,it isn't
,,,,,purchasing healthy items/nutrition information/
,,,,,"this is primarily resolved, but when it was a concern, i missed several days of work."
,,,,,it doesnâ€™t
,,,,,with a career change food insecurity has gotten better. i dont miss as much work as i used to. but with growing medical bills it has become a balancing act to pay bills and buy food.
,,,,,work hungry sometimes
,,,,,it isn't
,,,,,it slows me down in performing tasks.
,,,,,the stress can be depressing and cause me to have poor concentration and anxiety
,,,,,stress
,,,,,it donâ€™t effect my work
,,,,,makes me anxious and difficult to focus or embarrassed to participate in groups or gatherings.
,,,,,iâ€™m always counting down to payday which creates stress and anxiety
,,,,,less motivation
,,,,,"it doesn't. i never said i was food or housing insecure. 

leading questions by a researcher that is trying to lead and bait for results they want to prove something instead of following the science."
,,,,,inflation
,,,,,i choose to teach more classes based on my income and bills
,,,,,i'm ok
,,,,,the problem of food safety will directly affect my work
,,,,,"food affects the body.housing insecurity affects psychology,thereby affecting work."
,,,,,always competing to get full time work to rise above the cost of living since covid changed everything.
,,,,,anxiety
,,,,,i find myself stressing and more on edge
,,,,,"physical and mental anxiety, lack of food and energy"
,,,,,don't want to work as hard and do extra assignments due to always being under paid.
,,,,,i work with patients experiencing those issues
,,,,,students are more frequently moving/housing insecure and it affects their ability to focus on school.
,,,,,i'm always looking for a better paying job. i don't want to leave/change roles but i need to make more money to support my family.
,,,,,it isn't
,,,,,lack of food makes focus difficult.
,,,,,hungry at work
,,,,,it's depressing
,,,,,i feel uneasy living with other people
,,,,,attend a class
,,,,,it doesn't
,,,,,feel like i can never take a day off
,,,,,it affects my students greatly.
,,,,,it concerns me that i need to be resourceful on how i will put food on the table for my kids.  although i don't let it affect my ability to work or do day to day stuff. it still sits on my mind.
,,,,,it isnâ€™t
,,,,,unsafe food and unsafe housing would make me panic every day
,,,,,my students are more often food and housing insecure than they were before the pandemic.
,,,,,worry about staying healthy for the people who depend on me in my household.
,,,,,makes to hard to bring lunch and beverages
,,,,,less money for groceries means less meals to take to work
,,,,,"it's hard to focus on an empty stomach, usually get headaches and light faint."
,,,,,free nutritious meals for faculty would help
,,,,,i am secure
,,,,,mildly
,,,,,it doesn't.
,,,,,hard to focus
,,,,,neither is affecting my work.
,,,,,work keeps my mind off of it so work helps
,,,,,i spend a lot of energy worrying about things so i don't have as much energy for work
,,,,,it isn't
,,,,,it doesn't affect my work at this time.
,,,,,"just eat smaller portions for myself,"
,,,,,10-Aug
,,,,,i worry about my students.
,,,,,necesito trabajar mas
,,,,,hard to focus on tasks
,,,,,worry
,,,,,it doesn't.
,,,,,yes
,,,,,makes it hard to work
How is food or housing insecurity affecting your work?,Clovis Community College,103,40,12,it is making me look for other employment.
,,,,,less lunches at work
,,,,,never
,,,,,stress keeps me from doing my best.
,,,,,"just try to work more,"
,,,,,finding a place close by work to buy lunch
,,,,,sometimes i don't want to work because of food or housing insecurity.
,,,,,"at this time, it hasn't affected my work."
,,,,,"food and housing are unsafe, which reduces my study and work efficiency"
,,,,,our rental/mortgage and food prices are too high.
,,,,,hasn't
,,,,,great impact
How is food or housing insecurity affecting your work?,DinÃ© College,49,22,8,it doesn't
,,,,,it could be negatively impacting the performance of students.
,,,,,health will have an impact
,,,,,you just worry about the week and how you are going to make it with the money you have after paying bills and helping my mother. you have to think about how you are going to stretch your income until the next paycheck.
,,,,,"it has made me feel hopeless with work, seems like my paycheck is gone the same day i get paid and i feel like all of those hours work is just a waste. i feel tired because and i can't sleep and i can't sleep because i am stressed or worried. i have to push myself to get through the day sometimes."
,,,,,fast food makes me thick
,,,,,"anxious,"
,,,,,prices on everything increased
