Topic,Count,Name,Representation,Representative_Docs
-1,208,-1_campus_food_lunch_options,"['campus', 'food', 'lunch', 'options', 'meal', 'cafeteria', 'purchase', 'available', 'eat', 'bring']","['the only options for purchasing food on my campus is the bookstore snacks drinks and prepackaged items and the academy kitchen which exists mainly to provide school breakfast and lunch to an early college high school population honestly i never purchase or eat food from either rather i bring my lunch or go home for lunch', 'as far as i know our campus does not have a cafeteria or food court of any kind it would be a great benefit to the faculty staff students if there were healthy food options on campus in addition including a meal plan as part of the free tuition initiative would help those students or staff struggling with food security the school does a lot to hold events and provide food to the community and students who attend however there is no sustained availability of food offered through the college', 'food availability is not great i always pack my lunch i see many of my students eating lunch from vending machines on campus rather than paying the higher prices for the food available at the cafe']"
0,172,0_healthy_options_healthy options_fast,"['healthy', 'options', 'healthy options', 'fast', 'foods', 'fast food', 'fresh', 'choices', 'food', 'healthier']","['limitedfew healthy options', 'there are not enough healthy options', 'not enough healthy options']"
1,75,1_healthy_campus_food_options,"['healthy', 'campus', 'food', 'options', 'healthy food', 'options campus', 'students', 'food campus', 'food options', 'healthy options']","['not a lot of healthy food options on campus i pack my own food', 'the cafeteria food we serve our students is shockingly poor quality very similar to the food the public schools serve my son and other k12 students prepackaged even hard boiled eggs for petes sake on which you can taste the chemical preservative because the eggshell is already peeled truckedin plastic bags cut open and heated there is almost no fresh preparation of items so student choose the frozenflash fried options because they taste better such as the fries and hamburgers which are available every day not even the hamburger patties are made on sight i guess because it is cheaper to buy them premade than to pay a student worker a living wage to make fresh food they make one hot item that meets the nutritional standards each day but it is put together from bagged and canned ingredients only the lettuce is reasonably fresh most days we have only one other food option on campus a bagel shop you can get some healthy fresh bagel sandwiches there as well as fruit smoothies and i am grateful for that but it is pretty expensive for students', 'there should be more healthy food available throughout campus and not just in the campus cafeteria students often complain about the poor choices available to them at the campus cafeteria especially for those who would like to eat more fresh fruits and vegetables and whole foods there are not any quick serve healthy options on campus only bagels and wings']"
2,64,2_variety_options_options options_wish,"['variety', 'options', 'options options', 'wish', 'need options', 'options options options', 'affordable', 'options good', 'need', 'wish options']","['i wish i had more variety', 'there is a variety of options', 'wish there was more variety']"
3,59,3_food_campus_no food_students,"['food', 'campus', 'no food', 'students', 'no', 'food availability', 'availability', 'school', 'campus no', 'services']","['students and staff need more food choices across campus more food service vendors are needed in the food court by zuhl library there are several stalls that are vacant and the existing vendors have erratic hours also the food offerings at the zuhl fuel coffee stand are inconsistent some days there is a good selection for breakfast and lunch and other days there is no food at all food service shuts down entirely at the food court and zuhl in between sessions making it difficult for staff and students to get meals on campus at all', 'unmg does not have adequate food services for nonhigh school students the mckinley academy kitchen is available to high school students with limited availability to nonhigh school students it has been years since food services were offered to all students faculty and staff at unmg the nonhigh school students need to either eat before they come to campus or bring meals with them if nothing else let food trucks park on campus this is unconscionable', 'no food availability on campus whatsoever']"
4,51,4_trucks_food trucks_cafe_open,"['trucks', 'food trucks', 'cafe', 'open', 'food', 'starbucks', 'available food trucks', 'cafeteria', 'options', 'limited']","['very limited what is available is food trucks andor unhealthy snacks cnm has done a horrible job in this area food options are deplorable for anyone trying to eat healthy', 'there is not much available there are food trucks but that is about it', 'lacking only available through food trucks at this time']"
5,37,5_food campus_buy_buy food campus_buy food,"['food campus', 'buy', 'buy food campus', 'buy food', 'never', 'purchase food campus', 'purchase food', 'campus', 'purchase', 'bring']","['i do not buy food on campus i bring my own', 'i do not buy food on campus', 'i never buy food on campus i bring my own food from home to eat the closest i get is that sometimes i buy a drink from starbucks i kind of had to guess what a meal would cost in the previous question']"
6,34,6_vending_machines_vending machines_vending machine,"['vending', 'machines', 'vending machines', 'vending machine', 'machine', 'machines campus', 'vending machines campus', 'campus vending', 'snack bar', 'food vending']","['only have a snack bar or vending machines on campus', 'there is only vending machines and this is not something i will ingest it is not food', 'we only have vending machines at the gadsden campus']"
7,33,7_students_needs_students faculty staff_like,"['students', 'needs', 'students faculty staff', 'like', 'students faculty', 'faculty staff', 'campus', 'north campus', 'north', 'campus like']","['could be better for the students i think lowcost or free or reduced lunch should be available to college students at a community college much like public school', 'i like the selection can can afford these items but i know not all students faculty and staff can and i very much support nmsu providing support to students faculty and staff that need help', 'the cost is relatively high given the needs of students faculty and staff']"
8,24,8_good_good good_ok_fair,"['good', 'good good', 'ok', 'fair', 'great good', 'satisfying', 'good great', 'good good excellent', 'good excellent', 'fine']","['good', 'good', 'good']"
9,24,9_no thoughts_thoughts_no_present,"['no thoughts', 'thoughts', 'no', 'present', 'single', '1', 'need', 'any', '', '']","['have no opinion', 'no thoughts', 'no thoughts']"
10,23,10_hours_available_always available_available limited,"['hours', 'available', 'always available', 'available limited', 'operation', 'really available', 'limited hours', 'limited', 'times', 'locations']","['insufficient only one possible place which is too expensive and limited hours and limited selections', 'short hours', 'only available during very limited hours and very pricey']"
11,21,11_limited_itâs limited_itâs_far limited,"['limited', 'itâs limited', 'itâs', 'far limited', 'fine', 'sparse', 'meager', 'itâs limited often', 'poor limited', 'limited often']","['very limited', 'very limited', 'limited']"
12,19,12_remotely_teach_work_online,"['remotely', 'teach', 'work', 'online', 'remote', 'work remotely', 'applicable', 'learning', 'sure', 'employee']","['i teach online so i do not visit the campus', 'i teach online so i am not sure', 'i do not know because i work remotely']"
13,19,13_cafeteria_no cafeteria_need_campus no cafeteria,"['cafeteria', 'no cafeteria', 'need', 'campus no cafeteria', 'campus needs', 'cafeteria students', 'cafeteria campus', 'every', 'no', 'main campus']","['there is no cafeteria on campus', 'no cafeteria', 'no cafeteria']"
14,18,14_expensive_high_way expensive_okay,"['expensive', 'high', 'way expensive', 'okay', 'costly', 'choice', 'hard', 'way', 'costs', 'price']","['rather expensive', 'slightly expensive', 'it is too expensive']"
15,16,15_no___,"['no', '', '', '', '', '', '', '', '', '']","['no', 'no', 'no']"
16,16,16_cnm_main_trucks_food trucks,"['cnm', 'main', 'trucks', 'food trucks', 'cnm main', 'cnm main campus', 'montoya', 'campuses', 'food', 'main campus']","['we do not have many options at cnm', 'poor cnm main has food trucks sometimes but no food available during evening classes other than vending machine snacks montoya campus only has vending machines', 'i do not think we have a cafeteria anymore on cnm main campus']"
17,15,17_good_terrible_bad_good good,"['good', 'terrible', 'bad', 'good good', 'half', 'gross', 'good pretty good', 'good pretty', 'good great', 'great']","['not good', 'not very good', 'very good impeccable']"
18,13,18_good_good good_good pretty good_good good excellent,"['good', 'good good', 'good pretty good', 'good good excellent', 'good excellent', 'great good', 'good pretty', 'worse', 'think good', 'great']","['its not good at all', 'it is a good project', 'it is good']"
19,13,19_food pantry_pantry_pay_afford,"['food pantry', 'pantry', 'pay', 'afford', 'food', 'food bank', 'cost no', 'expensive afford', 'pay food', 'biggest']","['while we have a food pantry i do not think it is being used effectively', 'we need a food pantry', 'we now have a food pantry']"
20,12,20_na_no_la_online,"['na', 'no', 'la', 'online', '', '', '', '', '', '']","['na', 'na', 'na']"
21,12,21_idea_broader_necessary_helps,"['idea', 'broader', 'necessary', 'helps', 'affordable good', 'enjoy', 'easier', 'thing', 'without', 'basic']","['it should increase the quality and the variety for a more broader community', 'good idea but sometimes it is underused', 'good idea']"
22,12,22_bring_lunch_bring food_bring lunch,"['bring', 'lunch', 'bring food', 'bring lunch', 'bring food home', 'food home', 'prepared', 'typically', 'convenience', 'food bring']","['i bring my own lunch by preference and convenience', 'i typically bring my own food from home when i work on campus rather than buying food there', 'i typically bring my own food from home so i do not explore this much']"
23,11,23_better_improve_needs_better needs,"['better', 'improve', 'needs', 'better needs', 'room improvement', 'probably', 'improvement', 'quality', 'room', 'poor quality']","['better quality needed', 'it could be better', 'should be better']"
24,8,24_decent_sufficient_adequate_reasonable,"['decent', 'sufficient', 'adequate', 'reasonable', 'best', 'bad', 'access', '', '', '']","['decent', 'it is sufficient', 'not the best but sufficient']"
25,8,25_eat campus_eat_campus eat_campus,"['eat campus', 'eat', 'campus eat', 'campus', 'answer', 'plus', 'rarely eat', 'eat food campus', 'rarely eat campus', 'campus rarely']","['i do not know i am a part time so do not eat on campus', 'i usually do not eat on campus', 'i do not eat on campus']"
