Topic,Count,Name,Representation,Representative_Docs
-1,3,-1_present_right_moment_no,"['present', 'right', 'moment', 'no', '', '', '', '', '', '']","['not at the moment', 'no at present', 'not right now']"
0,263,0_work_job_just_time,"['work', 'job', 'just', 'time', 'affect', 'know', 'did', 'care', 'doing', 'days']","['work hungry sometimes', 'i work multiple jobs to be able to pay the bills and be sole support of my child', 'if food or housing is not safe it can affect an employees work in many ways for example people who live in unsafe housing may struggle to get enough rest or suffer from health conditions due to inadequate living standards lowquality food can also lead to malnutrition or illness which can disrupt ones work performance additionally if a family is financially strained due to high housing costs or the need to purchase safe housing the employee may struggle to focus at work or use too much of their salary just to meet basic needs']"
1,73,1_month_period_12_ok,"['month', 'period', '12', 'ok', 'better', 'moment', 'currently', 'job', '', '']","['it is not at the moment', 'it is not i am ok', 'it is not now but was at the beginning of the 12 month period before taking a better job']"
2,41,2_no_never__,"['no', 'never', '', '', '', '', '', '', '', '']","['no', 'no', 'no']"
3,31,3_way_really_no_,"['way', 'really', 'no', '', '', '', '', '', '', '']","['not at all', 'not really', 'in no way']"
4,29,4_affecting_does affect_affect_impact,"['affecting', 'does affect', 'affect', 'impact', 'does', 'really', 'affected', 'matter', 'did affect', 'say']","['it does not affect it', 'does not affect', 'does not affect']"
5,25,5_does_doesnât_realize_fortunate,"['does', 'doesnât', 'realize', 'fortunate', 'just', '', '', '', '', '']","['it does not', 'it does not', 'it does not']"
6,24,6_na___,"['na', '', '', '', '', '', '', '', '', '']","['na', 'na', 'na']"
7,24,7_affecting work_affecting_currently_work,"['affecting work', 'affecting', 'currently', 'work', 'affect work', 'impacting', 'does affect work', 'does affect', 'work affected', 'missed']","['it is not affecting my work', 'is not affecting my work', 'not affecting my work']"
8,17,8_lot_say_little_right,"['lot', 'say', 'little', 'right', 'time', '', '', '', '', '']","['prefer not to say', 'not a lot right now', 'a lot']"
9,15,9_know_no__,"['know', 'no', '', '', '', '', '', '', '', '']","['not applicable', 'no afectan', 'do not know']"
10,15,10_no___,"['no', '', '', '', '', '', '', '', '', '']","['not', 'not', 'no']"
11,11,11_good_bad_poorly_no,"['good', 'bad', 'poorly', 'no', '', '', '', '', '', '']","['not half bad', 'very good', 'it good']"
12,8,12____,"['', '', '', '', '', '', '', '', '', '']","['it isnât', 'its not', 'itâs not']"
