Topic,Count,Name,Representation,Representative_Docs
-1,404,-1_food_campus_cafeteria_available,"['food', 'campus', 'cafeteria', 'available', 'options', 'healthy', 'students', 'limited', 'eat', 'lunch']","['plenty of healthy food options at taos cafe as a new staff member i have not yet had the time or opportunity to visit the other food locations on campus the university needs to receive funding specifically dedicated to supporting student basic needs to support basic needs staff and services for students the pantry on campus should be open more than 2 days for 3 hrs each day to be most accessible to the greatest number of students in need also the university needs more funding for paying for the food accessed from the local food pantries or the states regional food pantries need more fiscal support from state government in order to provide their food free of charge to community partners additionally students connecting with food resources on campus should have dedicated basic needs case managers on campus that they can reach out to for basic needseconomic crisis support beyond food resources ie housing support snap application assistance etc', 'food is available on campus and our staff gets 3 meals but the quality of the food is not great the burgers are more bun than meat the pizza is ok but i do not want to eat pizza every time i go to the cafeteria we used to have a station to make sandwiches which is now gone the entrees are sometimes good but not always and the salad bar is minimal and kind of awful i try not to eat there i do not know how the students eat there every meal', 'very slim if any options on campus cafeteria was closed years ago to save money i guess but it was not good for our students sfi is there sometimes use to have food trucks but they have not really come since the pandemic not really any food options on main campus and no options for students at other campuses only good thing is the food pantry but it did take the space that was formally a food stand that had dions salads every day']"
0,70,0_selection_options_need_options options,"['selection', 'options', 'need', 'options options', 'need options', 'choices', 'options limited', 'wish options', 'selection options', 'wish']","['need more options', 'not much selection', 'need to have more selection']"
1,69,1_staff_campus options_student_students,"['staff', 'campus options', 'student', 'students', 'small campus', 'campus', 'small', 'work', 'friendly', 'university']","['would help students faculty and staff', 'it would be beneficial for students faculty and staff if it is cost effective that would be attractive to individuals', 'we really need to have a cafã open for student faculty and staff']"
2,48,2_healthy options_healthy_options_options healthy,"['healthy options', 'healthy', 'options', 'options healthy', 'options healthy options', 'healthier', 'expensive healthy', 'unhealthy', 'healthier options', 'expensive healthy options']","['there are some healthy options', 'although there are some healthy options there are not enough', 'not enough healthy options']"
3,44,3_better_good_improve_getting better,"['better', 'good', 'improve', 'getting better', 'bad', 'ok', 'getting', 'just ok', 'great', 'fine']","['it is getting better', 'it is getting better', 'it is getting better']"
4,44,4_machines_vending_vending machines_machines work,"['machines', 'vending', 'vending machines', 'machines work', 'montoya campus', 'montoya', 'campus vending machines', 'campus vending', 'vending machine', 'machine']","['its mostly vending machines', 'we only have vending machines', 'there are none only vending machines']"
5,42,5_pantry_food pantry_students_think,"['pantry', 'food pantry', 'students', 'think', 'food', 'need', 'campus', 'pantry campus', 'students staff', 'staff']","['i believe it should be accessible for not only students but also for the staff who may have hardships i talk about this situation with my coworkers multiple times if we can have something of a food pantry to have open for both students and staff to get what they need for how ever long i had a food pantry when i was an undergraduate and it helped me during my times of need which i think should be included at all campus sites', 'there is really only the sub and lapo the food pantry is great for students and i even used it a few times as a student but i think there is a stigma associated with calling it a food pantry it makes students want to go even less', 'we have really begun to ramp up efforts of a food pantry due to a recent grant we recieved']"
6,38,6_cafeteria_snack_cafeteria does_cafeteria open,"['cafeteria', 'snack', 'cafeteria does', 'cafeteria open', 'food trucks', 'trucks', 'food pantry', 'open', 'food', 'pantry']","['limited to our book store and cafeteria that does not server healthish food', 'we have a cafeteria and food trucks but they do not offer healthy food choices mostly just fast food', 'we have 2 snack bars 1 cafeteria and the food pantry plus snacks in the book store']"
7,30,7_healthy_available campus_sure_campus,"['healthy', 'available campus', 'sure', 'campus', 'fast', 'options', 'campus sure', 'healthiest', 'nutritious', 'food options campus']","['there is a lack of consistent access to healthy meals on campus since our snack bar vendor just closed there are vending machines and the bookstore sells snacks but those will not make a complete meal and are not always the healthiest options', 'while there are several food options on campus i am not sure how truly healthy and nutritious all of the options are i think more thought needs to go into what options are available and how expensive those options are for those who choose to partake of them', 'not sure if there is healthy food available on campus for me']"
8,29,8_no food_no_campus no_campus no food,"['no food', 'no', 'campus no', 'campus no food', 'food service', 'no food campus', 'service', 'no food available', 'campus', 'food service campus']","['there is no food available on campus', 'we have no food here n campus heathy or otherwise', 'there is no food availabity on our campus']"
